DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
Javelin Throw,93.07,Anderson PETERS,21 OCT 1997,GRN,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022
5 Kilometres Road,13:18,Juan Armando QUINTANILLA,19 APR 1968,MEX,"Carlsbad, CA (USA)",31 MAR 1996
10 Kilometres Road,27:41,Arturo BARRIOS,12 DEC 1963,MEX,"Phoenix, AZ (USA)",01 MAR 1986
Half Marathon,59:43,Ryan HALL,14 OCT 1982,USA,"Houston, TX (USA)",14 JAN 2007
Marathon,2:05:36,Cameron LEVINS,28 MAR 1989,CAN,Tokyo (JPN),05 MAR 2023
5000 Metres Race Walk Short Track,18:38.71,Ernesto CANTO,18 OCT 1959,MEX,"Hoosier Dome, Indianapolis, IN (USA) ",07 MAR 1987
"10,000 Metres Race Walk",38:25.42,Evan DUNFEE,28 SEP 1990,CAN,"AIS Athletics Track, Canberra (AUS)",28 JAN 2024
"20,000 Metres Race Walk",1:17:25.6,Bernardo SEGURA,11 FEB 1970,MEX,Fana (NOR),07 MAY 1994
20 Kilometres Race Walk,1:17:46,Julio MARTÍNEZ,27 SEP 1973,GUA,Eisenhüttenstadt (GER),08 MAY 1999
35 Kilometres Race Walk,2:25:02,Evan DUNFEE,28 SEP 1990,CAN,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
50 Kilometres Race Walk,3:41:09,Érick Bernabé BARRONDO,14 JUN 1991,GUA,Dudince (SVK),23 MAR 2013
Decathlon,9045,Ashton EATON,21 JAN 1988,USA,"National Stadium, Beijing (CHN)",29 AUG 2015
Heptathlon Short Track,6645,Ashton EATON,21 JAN 1988,USA,"Ataköy Arena, Istanbul (TUR) ",10 MAR 2012
4x100 Metres Relay,36.84,United States,,JAM,"Olympic Stadium, London (GBR)",11 AUG 2012
4x200 Metres Relay Short Track,1:22.71,United States,,USA,Glasgow (GBR) ,03 MAR 1991
4x400 Metres Relay,2:54.29,United States,,USA,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993
4x400 Metres Relay Short Track,3:01.39,United States,,USA,"College Station, TX (USA) ",10 MAR 2018
4x800 Metres Relay Short Track,7:11.30,United States,,USA,"Boston, MA (USA) ",25 FEB 2018
