DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
3000 Metres,7:37.15,Santiago CATROFE,13 FEB 1999,URU,"Sports Park Mladost, Zagreb (CRO)",10 SEP 2023
3000 Metres Short Track,7:49.46,Jacinto Germán NAVARRETE,01 AUG 1962,COL,"Palacio de los Deportes, Sevilla (ESP) ",10 MAR 1991
5000 Metres,13:05.95,Santiago CATROFE,13 FEB 1999,URU,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024
5000 Metres Short Track,13:42.54,Antonio Fabian SILIO,09 MAY 1966,ARG,San Sebastián (ESP) ,20 FEB 1990
"10,000 Metres",27:28.12,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,Neerpelt (BEL),02 JUN 2007
"20,000 Metres",1:02:17.8,Eloy SCHLEDER,26 JUL 1951,BRA,São Paulo (BRA),27 NOV 1976
One Hour,20129,Victor MORA,24 NOV 1944,COL,Essen (GER),15 AUG 1973
50 Metres Hurdles,6.57,Redelén MELO DOS SANTOS,24 APR 1976,BRA,Groningen (NED) ,28 JAN 2006
60 Metres Hurdles,7.58,Rafael PEREIRA,08 APR 1997,BRA,"Mercedes-Benz Arena, Berlin (GER) ",04 FEB 2022
60 Metres Hurdles,7.58,Rafael PEREIRA,08 APR 1997,BRA,"Halle Michel d'Ornano, Mondeville (FRA) ",09 FEB 2022
60 Metres Hurdles,7.58,Rafael PEREIRA,08 APR 1997,BRA,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) ",14 FEB 2022
60 Metres Hurdles,7.58,Rafael PEREIRA,08 APR 1997,BRA,Cochabamba (BOL) ,20 FEB 2022
60 Metres Hurdles,7.58,Rafael PEREIRA,08 APR 1997,BRA,"Štark Arena, Beograd (SRB) ",20 MAR 2022
60 Metres Hurdles,7.58,Eduardo RODRIGUES,08 OCT 1995,BRA,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL) ",28 JAN 2024
110 Metres Hurdles,13.17,Rafael PEREIRA,08 APR 1997,BRA,Rio de Janeiro (BRA),23 JUN 2022
400 Metres Hurdles,46.29,Alison DOS SANTOS,03 JUN 2000,BRA,"Hayward Field, Eugene, OR (USA)",19 JUL 2022
3000 Metres Steeplechase,8:14.41,Wander DO PRADO MOURA,22 FEB 1969,BRA,Mar del Plata (ARG),22 MAR 1995
High Jump,2.33,Gilmar MAYO,30 SEP 1969,COL,Pereira (COL),17 OCT 1994
Pole Vault,6.03,Thiago BRAZ,16 DEC 1993,BRA,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016
Long Jump,8.73,Irving SALADINO,23 JAN 1983,PAN,"FBK Stadium, Hengelo (NED)",24 MAY 2008
Triple Jump,17.90,Jadel GREGÓRIO,16 SEP 1980,BRA,"Mangueirão, Belém (BRA)",20 MAY 2007
Shot Put,22.61,Darlan ROMANI,09 APR 1991,BRA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019
Discus Throw,70.29,Mauricio ORTEGA,04 AUG 1994,COL,Lovelhe (POR),22 JUL 2020
Hammer Throw,78.63,Wagner José Alberto DOMINGOS,26 MAR 1983,BRA,Celje (SLO),19 JUN 2016
Javelin Throw,85.57,Luiz Mauricio DA SILVA,17 JAN 2000,BRA,"CNDA, Bragança Paulista (BRA)",30 JUN 2024
5 Kilometres Road,13:30,Valdenor PEREIRA DOS SANTOS,21 DEC 1969,BRA,"Carlsbad, CA (USA)",02 APR 1995
10 Kilometres Road,27:48,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,Udine (ITA),14 OCT 2007
Half Marathon,59:33,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,Udine (ITA),14 OCT 2007
Marathon,2:04:51,Daniel DO NASCIMENTO,28 JUL 1998,BRA,Seoul (KOR),17 APR 2022
100 Kilometres Road,6:18:09,Valmir NUNES,16 JAN 1964,BRA,Winschoten (NED),16 SEP 1995
5000 Metres Race Walk Short Track,19:28.87,Sérgio VIEIRA GALDINO,07 MAY 1969,BRA,"The Sky Dome, Toronto (CAN) ",13 MAR 1993
"20,000 Metres Race Walk",1:19:52.1,Caio BONFIM,19 MAR 1991,BRA,"CNDA, Bragança Paulista (BRA)",27 JUN 2024
20 Kilometres Race Walk,1:17:21,Jefferson PÉREZ,01 JUL 1974,ECU,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003
35 Kilometres Race Walk,2:24:34,Brian Daniel PINTADO,29 JUL 1995,ECU,"Hősök tere, Budapest (HUN)",24 AUG 2023
"50,000 Metres Race Walk",3:57:58.0,Claudio Richardson DOS SANTOS,16 OCT 1977,BRA,Blumenau (BRA),20 SEP 2008
50 Kilometres Race Walk,3:42:57,Andrés CHOCHO,04 NOV 1983,ECU,Ciudad Juárez (MEX),06 MAR 2016
Decathlon,8393,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,São Paulo (BRA),08 JUN 2013
Heptathlon Short Track,5951,Gonzalo BARROILHET,13 AUG 1986,CHI,"Fayetteville, AR (USA) ",15 MAR 2008
Heptathlon Short Track,5951,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,Tallinn (EST) ,08 FEB 2014
4x100 Metres Relay,37.72,Brazil,,BRA,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
4x200 Metres Relay,1:24.42,Brazil,,GUY,"Philadelphia, PA (USA)",25 APR 2015
4x400 Metres Relay,2:58.56,Brazil,,BRA,Winnipeg (CAN),30 JUL 1999
4x400 Metres Relay Short Track,3:10.50,Brazil,,BRA,"Palais Omnisports de Paris-Bercy, Paris (FRA) ",08 MAR 1997
4x800 Metres Relay,7:47.3,Brazil,,BRA,São Paulo (BRA),21 APR 1965
Road Relay,2:04:50,Brazil,,BRA,Manaus (BRA),19 APR 1998
