DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
Javelin Throw,92.72,Julius YEGO,04 JAN 1989,KEN,"National Stadium, Beijing (CHN)",26 AUG 2015
5 Kilometres Road,12:49,Berihu AREGAWI,28 FEB 2001,ETH,Barcelona (ESP),31 DEC 2021
10 Kilometres Road,26:24,Rhonex KIPRUTO,12 OCT 1999,KEN,Valencia (ESP),12 JAN 2020
Half Marathon,57:31,Jacob KIPLIMO,14 NOV 2000,UGA,Lisboa (POR),21 NOV 2021
Marathon,2:00:35,Kelvin KIPTUM,02 DEC 1999,KEN,"Chicago, IL (USA)",08 OCT 2023
100 Kilometres Road,6:24:06,Bongmusa MTHEMBU,27 JUN 1983,RSA,Los Alcázares (ESP),27 NOV 2016
5000 Metres Race Walk Short Track,19:39.92,Hedi TERRAOUI,10 NOV 1989,TUN,Liévin (FRA) ,18 FEB 2018
"20,000 Metres Race Walk",1:22:51.84,Hatem GHOULA,07 JUN 1973,TUN,Leutkirch (GER),08 SEP 1994
20 Kilometres Race Walk,1:18:23,Samuel Kireri GATHIMBA,26 OCT 1987,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 JUN 2021
"30,000 Metres Race Walk",2:19:21.31,Hatem GHOULA,07 JUN 1973,TUN,Reims (FRA),12 MAR 2011
35 Kilometres Race Walk,2:31:15,Wayne SNYMAN,08 MAR 1985,RSA,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
"50,000 Metres Race Walk",4:21:44.5,Abdelwahib FERGUENE,18 NOV 1958,ALG,Toulouse (FRA),25 MAR 1984
50 Kilometres Race Walk,3:53:09,Marc MUNDELL,07 JUL 1983,RSA,Dudince (SVK),20 MAR 2021
Decathlon,8521,Larbi BOURRADA,10 MAY 1988,ALG,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016
Heptathlon Short Track,5911,Larbi BOURRADA,10 MAY 1988,ALG,Paris (FRA) ,28 FEB 2010
4x100 Metres Relay,37.65,Côte d’Ivoire,,RSA,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019
4x200 Metres Relay,1:20.42,Côte d’Ivoire,,RSA,"International Stadium, Yokohama (JPN)",12 MAY 2019
4x400 Metres Relay,2:57.27,Côte d’Ivoire,,BOT,"National Stadium, Tokyo (JPN)",07 AUG 2021
4x400 Metres Relay Short Track,3:06.71,Côte d’Ivoire,,KEN,"Glasgow Arena, Glasgow (GBR) ",03 MAR 2024
4x800 Metres Relay,7:02.43,Côte d’Ivoire,,KEN,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
4x1500 Metres Relay,14:22.22,Côte d’Ivoire,,KEN,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
Road Relay,1:57:06,Côte d’Ivoire,,KEN,Chiba (JPN),23 NOV 2005
