DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
"10,000 Metres",30:03.82,Alicia MONSON,13 MAY 1998,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",04 MAR 2023
50 Metres Hurdles,6.67,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"Reno, NV (USA) ",10 FEB 1995
50 Metres Hurdles,6.67,Michelle FREEMAN,05 MAY 1969,JAM,Liévin (FRA) ,13 FEB 2000
60 Metres Hurdles,7.65,Devynne CHARLTON,26 NOV 1995,BAH,"Glasgow Arena, Glasgow (GBR) ",03 MAR 2024
100 Metres Hurdles,12.20,Kendra HARRISON,18 SEP 1992,USA,"Olympic Stadium, London (GBR)",22 JUL 2016
400 Metres Hurdles,50.68,Sydney MCLAUGHLIN,07 AUG 1999,USA,"Hayward Field, Eugene, OR (USA)",22 JUL 2022
400 Metres Hurdles,50.65,Sydney MCLAUGHLIN,07 AUG 1999,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024
3000 Metres Steeplechase,8:57.77,Courtney FRERICHS,18 JAN 1993,USA,"Hayward Field, Eugene, OR (USA)",21 AUG 2021
High Jump,2.05,Chaunte LOWE,12 JAN 1984,USA,"Drake Stadium, Des Moines, IA (USA)",26 JUN 2010
Pole Vault,5.03,Jennifer SUHR,05 FEB 1982,USA,"Brockport, NY (USA) ",30 JAN 2016
Long Jump,7.49,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"New York, NY (USA)",22 MAY 1994
Long Jump,7.49,Jackie JOYNER-KERSEE,03 MAR 1962,USA,Sestriere (ITA),31 JUL 1994
Triple Jump,15.29,Yamilé ALDAMA,14 AUG 1972,CUB,"Stadio Olimpico, Roma (ITA)",11 JUL 2003
Shot Put,20.96,Belsy LAZA,05 JUN 1967,CUB,Ciudad de México (MEX),02 MAY 1992
Discus Throw,73.09,Yaimé PÉREZ,29 MAY 1991,CUB,"Millican Field at Throw Town, Ramona, OK (USA)",13 APR 2024
Hammer Throw,80.31,DeAnna PRICE,08 JUN 1993,USA,"Hayward Field, Eugene, OR (USA)",26 JUN 2021
Javelin Throw,71.70,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,"Olympiastadion, Helsinki (FIN)",14 AUG 2005
5 Kilometres Road,14:50,Molly HUDDLE,31 AUG 1984,USA,"Boston, MA (USA)",18 APR 2015
10 Kilometres Road,30:52,Shalane FLANAGAN,08 JUL 1981,USA,"Boston, MA (USA)",26 JUN 2016
Half Marathon,1:06:25,Weini KELATI FREZGHI,01 DEC 1996,USA,"Houston, TX (USA)",14 JAN 2024
Marathon,2:18:29,Emily SISSON,12 OCT 1991,USA,"Chicago, IL (USA)",09 OCT 2022
3000 Metres Race Walk Short Track,12:20.79,Debbi LAWRENCE,15 OCT 1961,USA,"The Sky Dome, Toronto (CAN) ",12 MAR 1993
"10,000 Metres Race Walk",44:13.88,Alegna GONZÁLEZ,02 JAN 1999,MEX,"Ratinan Stadion, Tampere (FIN)",14 JUL 2018
10 Kilometres Race Walk,42:42,María Graciela MENDOZA,23 MAR 1963,MEX,Naumburg (GER),25 MAY 1997
"20,000 Metres Race Walk",1:31:53.72,Mirna ORTÍZ,28 FEB 1987,GUA,Ciudad de Guatemala (GUA),08 AUG 2014
20 Kilometres Race Walk,1:26:17,María Guadalupe GONZÁLEZ ROMERO,09 JAN 1989,MEX,Roma (ITA),07 MAY 2016
35 Kilometres Race Walk,2:49:29,Robyn STEVENS,24 APR 1983,USA,Dudince (SVK),23 APR 2022
50 Kilometres Race Walk,4:13:56,Mirna ORTÍZ,28 FEB 1987,GUA,Ciudad de Guatemala (GUA),24 FEB 2019
Heptathlon,7291,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988
Pentathlon Short Track,5004,Anna HALL,23 MAR 2001,USA,"Convention Center, Albuquerque, NM (USA) ",16 FEB 2023
4x100 Metres Relay,40.82,United States,,USA,"Olympic Stadium, London (GBR)",10 AUG 2012
4x200 Metres Relay Short Track,1:32.67,United States,,USA,"New York, NY (USA) ",27 JAN 2018
4x400 Metres Relay,3:15.51,United States,,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
4x400 Metres Relay Short Track,3:23.85,United States,,USA,"Arena Birmingham, Birmingham (GBR) ",04 MAR 2018
4x800 Metres Relay Short Track,8:05.89,United States,,USA,"New York, NY (USA) ",03 FEB 2018
