DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
Mile Short Track,4:13.31,Genzebe DIBABA,08 FEB 1991,ETH,"Globe Arena, Stockholm (SWE) (i)",17 FEB 2016
2000 Metres,5:21.56,Francine NIYONSABA,05 MAY 1993,BDI,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
3000 Metres,8:06.11,Junxia WANG,09 JAN 1973,CHN,Beijing (CHN),13 SEP 1993
3000 Metres Short Track,8:16.60,Genzebe DIBABA,08 FEB 1991,ETH,"Globe Arena, Stockholm (SWE) (i)",06 FEB 2014
5000 Metres,14:00.21,Gudaf TSEGAY,23 JAN 1997,ETH,"Hayward Field, Eugene, OR (USA)",17 SEP 2023
5000 Metres Short Track,14:18.86,Genzebe DIBABA,08 FEB 1991,ETH,"Globe Arena, Stockholm (SWE) (i)",19 FEB 2015
"10,000 Metres",29:01.03,Letesenbet GIDEY,20 MAR 1998,ETH,"FBK Stadium, Hengelo (NED)",08 JUN 2021
One Hour,18930,Sifan HASSAN,01 JAN 1993,NED,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020
50 Metres Hurdles,6.58,Cornelia OSCHKENAT,29 OCT 1961,GDR,Berlin (GER) (i),20 FEB 1988
60 Metres Hurdles,7.68,Susanna KALLUR,16 FEB 1981,SWE,Karlsruhe (GER) (i),10 FEB 2008
60 Metres Hurdles,7.67,Devynne CHARLTON,26 NOV 1995,BAH,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024
60 Metres Hurdles,7.67,Tia JONES,08 SEP 2000,USA,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024
60 Metres Hurdles,7.65,Devynne CHARLTON,26 NOV 1995,BAH,"Glasgow Arena, Glasgow (GBR) (i)",03 MAR 2024
100 Metres Hurdles,12.12,Tobi AMUSAN,23 APR 1997,NGR,"Hayward Field, Eugene, OR (USA)",24 JUL 2022
400 Metres Hurdles,50.68,Sydney MCLAUGHLIN,07 AUG 1999,USA,"Hayward Field, Eugene, OR (USA)",22 JUL 2022
3000 Metres Steeplechase,8:44.32,Beatrice CHEPKOECH,06 JUL 1991,KEN,"Stade Louis II, Monaco (MON)",20 JUL 2018
High Jump,2.09,Stefka KOSTADINOVA,25 MAR 1965,BUL,"Stadio Olimpico, Roma (ITA)",30 AUG 1987
Pole Vault,5.06,Yelena ISINBAYEVA,03 JUN 1982,RUS,"Letzigrund, Zürich (SUI)",28 AUG 2009
Long Jump,7.52,Galina CHISTYAKOVA,26 JUL 1962,URS,Leningrad (URS),11 JUN 1988
Triple Jump,15.74,Yulimar ROJAS,21 OCT 1995,VEN,"Štark Arena, Beograd (SRB) (i)",20 MAR 2022
Shot Put,22.63,Natalya LISOVSKAYA,16 JUL 1962,URS,Moskva (URS),07 JUN 1987
Discus Throw,76.80,Gabriele REINSCH,23 SEP 1963,GDR,Neubrandenburg (GDR),09 JUL 1988
Hammer Throw,82.98,Anita WŁODARCZYK,08 AUG 1985,POL,"Stadion PGE Narodowy, Warszawa (POL)",28 AUG 2016
Javelin Throw,72.28,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008
Mile Road,4:20.98,Diribe WELTEJI,13 MAY 2002,ETH,Riga (LAT),01 OCT 2023
5 Kilometres Road,14:29,Senbere TEFERI,03 MAY 1995,ETH,Herzogenaurach (GER),12 SEP 2021
5 Kilometres Road,14:13,Beatrice CHEBET,05 MAR 2000,KEN,Barcelona (ESP),31 DEC 2023
5 Kilometres Road,14:19,Ejgayehu TAYE,10 FEB 2000,ETH,Barcelona (ESP),31 DEC 2021
5 Kilometres Road,14:13,Agnes Jebet NGETICH,23 JAN 2001,KEN,Valencia (ESP),14 JAN 2024
10 Kilometres Road,30:01,Agnes Jebet TIROP,23 OCT 1995,KEN,Herzogenaurach (GER),12 SEP 2021
10 Kilometres Road,29:38,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,Genève (SUI),03 OCT 2021
10 Kilometres Road,29:14,Yalemzerf YEHUALAW,03 AUG 1999,ETH,Castellón (ESP),27 FEB 2022
10 Kilometres Road,28:46,Agnes Jebet NGETICH,23 JAN 2001,KEN,Valencia (ESP),14 JAN 2024
Half Marathon,1:05:16,Peres JEPCHIRCHIR,27 SEP 1993,KEN,Gdynia (POL),17 OCT 2020
Half Marathon,1:02:52,Letesenbet GIDEY,20 MAR 1998,ETH,Valencia (ESP),24 OCT 2021
Marathon,2:14:04,Brigid KOSGEI,20 FEB 1994,KEN,"Chicago, IL (USA)",13 OCT 2019
Marathon,2:17:01,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,London (GBR),23 APR 2017
Marathon,2:11:53,Tigst ASSEFA,03 DEC 1996,ETH,Berlin (GER),24 SEP 2023
Marathon,2:16:16,Peres JEPCHIRCHIR,27 SEP 1993,KEN,London (GBR),21 APR 2024
50 Kilometres Road,2:59:54,Desiree LINDEN,26 JUL 1983,USA,"Dorena Lake, Oregon (USA)",13 APR 2021
50 Kilometres Road,3:00:30,Emane SEIFU,,ETH,Gqeberha (RSA),26 FEB 2023
100 Kilometres Road,6:33:11,Tomoe ABE,13 AUG 1971,JPN,Lake Saroma (JPN),25 JUN 2000
3000 Metres Race Walk Short Track,11:40.33,Claudia IOVAN,25 FEB 1978,ROU,Bucureşti (ROU) (i),30 JAN 1999
"10,000 Metres Race Walk",41:56.23,Nadezhda RYASHKINA,22 JAN 1967,URS,"Seattle, WA (USA)",24 JUL 1990
"20,000 Metres Race Walk",1:26:52.3,Olimpiada IVANOVA,29 AUG 1970,RUS,Brisbane (AUS),06 SEP 2001
20 Kilometres Race Walk,1:23:49,Jiayu YANG,18 FEB 1996,CHN,Huangshan (CHN),20 MAR 2021
35 Kilometres Race Walk,2:37:15,María PÉREZ,29 APR 1996,ESP,Poděbrady (CZE),21 MAY 2023
50 Kilometres Race Walk,3:59:15,Hong LIU,12 MAY 1987,CHN,Huangshan (CHN),09 MAR 2019
Heptathlon,7291,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988
Decathlon,8358,Austra SKUJYTĖ,12 AUG 1979,LTU,"Columbia, MO (USA)",15 APR 2005
Pentathlon Short Track,5055,Nafissatou THIAM,19 AUG 1994,BEL,"Ataköy Arena, Istanbul (TUR) (i)",03 MAR 2023
4x100 Metres Relay,40.82,United States,,USA,"Olympic Stadium, London (GBR)",10 AUG 2012
4x200 Metres Relay,1:27.46,United States Blue,,USA,"Philadelphia, PA (USA)",29 APR 2000
4x200 Metres Relay Short Track,1:32.41,Russia,,RUS,Glasgow (GBR) (i),29 JAN 2005
4x400 Metres Relay,3:15.17,Soviet Union,,URS,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
4x400 Metres Relay Short Track,3:23.37,Russia,,RUS,Glasgow (GBR) (i),28 JAN 2006
4x800 Metres Relay,7:50.17,Soviet Union,,URS,Moskva (URS),05 AUG 1984
4x800 Metres Relay Short Track,8:05.89,United States,,USA,"New York, NY (USA) (i)",03 FEB 2018
Distance Medley,10:36.50,United States,,USA,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015
4x1500 Metres Relay,16:27.02,Nike/Bowerman Track Club,,USA,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020
Road Relay,2:11:41,PR of China,,CHN,Beijing (CHN),28 FEB 1998
