DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
Pole Vault,6.24,Armand DUPLANTIS,10 NOV 1999,SWE,"Egret Stadium, Xiamen (CHN)",20 APR 2024
Pole Vault,6.25,Armand DUPLANTIS,10 NOV 1999,SWE,"Stade de France, Paris (FRA)",05 AUG 2024
Long Jump,8.95,Mike POWELL,10 NOV 1963,USA,"National Stadium, Tokyo (JPN)",30 AUG 1991
Triple Jump,18.29,Jonathan EDWARDS,10 MAY 1966,GBR,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995
Shot Put,23.56,Ryan CROUSER,18 DEC 1992,USA,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023
Discus Throw,74.35,Mykolas ALEKNA,28 SEP 2002,LTU,"Millican Field at Throw Town, Ramona, OK (USA)",14 APR 2024
Hammer Throw,86.74,Yuriy SEDYKH,11 JUN 1955,URS,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
Javelin Throw,98.48,Jan ŽELEZNÝ,16 JUN 1966,CZE,Jena (GER),25 MAY 1996
Mile Road,3:56.13,Hobbs KESSLER,15 MAR 2003,USA,Riga (LAT),01 OCT 2023
Mile Road,3:54.6,Emmanuel WANYONYI,01 AUG 2004,KEN,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",27 APR 2024
5 Kilometres Road,12:49,Berihu AREGAWI,28 FEB 2001,ETH,Barcelona (ESP),31 DEC 2021
10 Kilometres Road,26:24,Rhonex KIPRUTO,12 OCT 1999,KEN,Valencia (ESP),12 JAN 2020
Half Marathon,57:31,Jacob KIPLIMO,14 NOV 2000,UGA,Lisboa (POR),21 NOV 2021
Marathon,2:00:35,Kelvin KIPTUM,02 DEC 1999,KEN,"Chicago, IL (USA)",08 OCT 2023
50 Kilometres Road,2:38:43,CJ ALBERTSON,11 OCT 1993,USA,"San Francisco, CA (USA)",08 OCT 2022
100 Kilometres Road,6:05:35,Aleksandr SOROKIN,30 SEP 1981,LTU,Vilnius (LTU),14 MAY 2023
5000 Metres Race Walk Short Track,18:07.08,Mikhail SHCHENNIKOV,24 DEC 1967,RUS,Moskva (RUS) ,14 FEB 1995
"20,000 Metres Race Walk",1:17:25.6,Bernardo SEGURA,11 FEB 1970,MEX,Fana (NOR),07 MAY 1994
20 Kilometres Race Walk,1:16:36,Yusuke SUZUKI,02 JAN 1988,JPN,Nomi (JPN),15 MAR 2015
"30,000 Metres Race Walk",2:01:44.1,Maurizio DAMILANO,06 APR 1957,ITA,Cuneo (ITA),03 OCT 1992
"50,000 Metres Race Walk",3:35:27.2,Yohann DINIZ,01 JAN 1978,FRA,Reims (FRA),12 MAR 2011
50 Kilometres Race Walk,3:32:33,Yohann DINIZ,01 JAN 1978,FRA,"Letzigrund, Zürich (SUI)",15 AUG 2014
Decathlon,9126,Kevin MAYER,10 FEB 1992,FRA,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018
Heptathlon Short Track,6645,Ashton EATON,21 JAN 1988,USA,"Ataköy Arena, Istanbul (TUR) ",10 MAR 2012
4x100 Metres Relay,36.84,Jamaica,,JAM,"Olympic Stadium, London (GBR)",11 AUG 2012
4x200 Metres Relay,1:18.63,Jamaica,,JAM,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
4x200 Metres Relay Short Track,1:22.11,Great Britain & NI,,GBR,Glasgow (GBR) ,03 MAR 1991
4x400 Metres Relay,2:54.29,United States,,USA,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993
4x400 Metres Relay Short Track,3:01.51,Houston,,USA,"Clemson, SC (USA) ",09 FEB 2019
4x800 Metres Relay,7:02.43,Kenya,,KEN,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
4x800 Metres Relay Short Track,7:11.30,HOKA NJ / NY TC,,USA,"Boston, MA (USA) ",25 FEB 2018
Distance Medley,9:15.50,United States,,USA,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
Distance Medley,9:14.58,Brooks Beast,,USA,"Hayward Field, Eugene, OR (USA)",19 APR 2024
4x1500 Metres Relay,14:22.22,Kenya,,KEN,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
Road Relay,1:57:06,Kenya,,KEN,Chiba (JPN),23 NOV 2005
