DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
Discus Throw,74.35,Mykolas ALEKNA,28 SEP 2002,LTU,"Millican Field at Throw Town, Ramona, OK (USA)",14 APR 2024
Hammer Throw,86.74,Yuriy SEDYKH,11 JUN 1955,URS,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
Javelin Throw,98.48,Jan ŽELEZNÝ,16 JUN 1966,CZE,Jena (GER),25 MAY 1996
5 Kilometres Road,13:12,Jimmy GRESSIER,04 MAY 1997,FRA,Monaco (MON),12 FEB 2023
5 Kilometres Road,13:12,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,Barcelona (ESP),31 DEC 2023
10 Kilometres Road,27:07,Jimmy GRESSIER,04 MAY 1997,FRA,Lille (FRA),17 MAR 2024
Half Marathon,59:13,Julien WANDERS,18 MAR 1996,SUI,Ras Al Khaimah (UAE),08 FEB 2019
Marathon,2:03:36,Bashir ABDI,10 FEB 1989,BEL,Rotterdam (NED),24 OCT 2021
100 Kilometres Road,6:05:35,Aleksandr SOROKIN,30 SEP 1981,LTU,Vilnius (LTU),14 MAY 2023
5000 Metres Race Walk Short Track,18:07.08,Mikhail SHCHENNIKOV,24 DEC 1967,RUS,Moskva (RUS) ,14 FEB 1995
"20,000 Metres Race Walk",1:18:35.2,Stefan JOHANSSON,11 APR 1967,SWE,Fana (NOR),15 MAY 1992
20 Kilometres Race Walk,1:17:02,Yohann DINIZ,01 JAN 1978,FRA,Arles (FRA),08 MAR 2015
"30,000 Metres Race Walk",2:01:44.1,Maurizio DAMILANO,06 APR 1957,ITA,Cuneo (ITA),03 OCT 1992
35 Kilometres Race Walk,2:23:14,Massimo STANO,27 FEB 1992,ITA,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
"50,000 Metres Race Walk",3:35:27.2,Yohann DINIZ,01 JAN 1978,FRA,Reims (FRA),12 MAR 2011
50 Kilometres Race Walk,3:32:33,Yohann DINIZ,01 JAN 1978,FRA,"Letzigrund, Zürich (SUI)",15 AUG 2014
Decathlon,9126,Kevin MAYER,10 FEB 1992,FRA,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018
Heptathlon Short Track,6479,Kevin MAYER,10 FEB 1992,FRA,"Kombank Arena, Beograd (SRB) ",05 MAR 2017
4x100 Metres Relay,37.36,German Democratic Republic,,GBR,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
4x200 Metres Relay,1:20.66,German Democratic Republic,,FRA,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
4x200 Metres Relay Short Track,1:22.11,German Democratic Republic,,GBR,Glasgow (GBR) ,03 MAR 1991
4x400 Metres Relay,2:56.60,German Democratic Republic,,GBR,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996
4x400 Metres Relay Short Track,3:01.77,German Democratic Republic,,POL,"Arena Birmingham, Birmingham (GBR) ",04 MAR 2018
4x800 Metres Relay,7:03.89,German Democratic Republic,,GBR,London (GBR),30 AUG 1982
4x800 Metres Relay Short Track,7:17.8,German Democratic Republic,,URS,"Festivalna, Sofia (BUL) ",14 MAR 1971
Distance Medley,9:24.07 !,German Democratic Republic,,POL,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
4x1500 Metres Relay,14:38.8,German Democratic Republic,,FRG,Köln (GER),17 AUG 1977
Road Relay,2:02:37,German Democratic Republic,,BEL,Tongeren (BEL),11 NOV 2022
