DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
400 Metres Hurdles,51.45,Femke BOL,23 FEB 2000,NED,"Olympic Stadium, London (GBR)",23 JUL 2023
400 Metres Hurdles,50.95,Femke BOL,23 FEB 2000,NED,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024
3000 Metres Steeplechase,8:58.81,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,"National Stadium, Beijing (CHN)",17 AUG 2008
High Jump,2.09,Stefka KOSTADINOVA,25 MAR 1965,BUL,"Stadio Olimpico, Roma (ITA)",30 AUG 1987
High Jump,2.10,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,"Stade Charléty, Paris (FRA)",07 JUL 2024
Pole Vault,5.06,Yelena ISINBAYEVA,03 JUN 1982,RUS,"Letzigrund, Zürich (SUI)",28 AUG 2009
Long Jump,7.52,Galina CHISTYAKOVA,26 JUL 1962,URS,Leningrad (URS),11 JUN 1988
Triple Jump,15.50,Inessa KRAVETS,05 OCT 1966,UKR,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995
Shot Put,22.63,Natalya LISOVSKAYA,16 JUL 1962,URS,Moskva (URS),07 JUN 1987
Discus Throw,76.80,Gabriele REINSCH,23 SEP 1963,GDR,Neubrandenburg (GDR),09 JUL 1988
Hammer Throw,82.98,Anita WŁODARCZYK,08 AUG 1985,POL,"Stadion PGE Narodowy, Warszawa (POL)",28 AUG 2016
Javelin Throw,72.28,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008
5 Kilometres Road,14:44,Sifan HASSAN,01 JAN 1993,NED,Monaco (MON),17 FEB 2019
10 Kilometres Road,30:21,Paula RADCLIFFE,17 DEC 1973,GBR,San Juan (PUR),23 FEB 2003
10 Kilometres Road,30:19,Eilish MCCOLGAN,25 NOV 1990,GBR,Manchester (GBR),22 MAY 2022
Half Marathon,1:05:15,Sifan HASSAN,01 JAN 1993,NED,København (DEN),16 SEP 2018
Half Marathon,1:05:18,Melat Yisak KEJETA,27 SEP 1992,GER,Gdynia (POL),17 OCT 2020
Marathon,2:13:44,Sifan HASSAN,01 JAN 1993,NED,"Chicago, IL (USA)",08 OCT 2023
100 Kilometres Road,7:04:03,Floriane HOT,27 APR 1991,FRA,Bernau (GER),27 AUG 2022
3000 Metres Race Walk Short Track,11:40.33,Claudia IOVAN,25 FEB 1978,ROU,Bucureşti (ROU) ,30 JAN 1999
"10,000 Metres Race Walk",41:56.23,Nadezhda RYASHKINA,22 JAN 1967,URS,"Seattle, WA (USA)",24 JUL 1990
"20,000 Metres Race Walk",1:26:52.3,Olimpiada IVANOVA,29 AUG 1970,RUS,Brisbane (AUS),06 SEP 2001
20 Kilometres Race Walk,1:25:08,Vera SOKOLOVA,23 JUN 1987,RUS,Sochi (RUS),26 FEB 2011
35 Kilometres Race Walk,2:37:15,María PÉREZ,29 APR 1996,ESP,Poděbrady (CZE),21 MAY 2023
50 Kilometres Race Walk,4:04:50,Eleonora Anna GIORGI,14 SEP 1989,ITA,Alytus (LTU),19 MAY 2019
Heptathlon,7032,Carolina KLÜFT,02 FEB 1983,SWE,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007
Decathlon,8358,Austra SKUJYTĖ,12 AUG 1979,LTU,"Columbia, MO (USA)",15 APR 2005
Pentathlon Short Track,5055,Nafissatou THIAM,19 AUG 1994,BEL,"Ataköy Arena, Istanbul (TUR) ",03 MAR 2023
4x100 Metres Relay,41.37,German Democratic Republic,,GDR,"Bruce Stadium, Canberra (AUS)",06 OCT 1985
4x200 Metres Relay,1:28.15,German Democratic Republic,,GDR,Jena (GDR),09 AUG 1980
4x200 Metres Relay Short Track,1:32.41,German Democratic Republic,,RUS,Glasgow (GBR) ,29 JAN 2005
4x400 Metres Relay,3:15.17,German Democratic Republic,,URS,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
4x400 Metres Relay Short Track,3:23.37,German Democratic Republic,,RUS,Glasgow (GBR) ,28 JAN 2006
4x800 Metres Relay,7:50.17,German Democratic Republic,,URS,Moskva (URS),05 AUG 1984
4x800 Metres Relay Short Track,8:06.24,German Democratic Republic,,RUS,Moskva (RUS) ,18 FEB 2011
Distance Medley,10:45.32 !,German Democratic Republic,,POL,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015
4x1500 Metres Relay,17:51.48 !,German Democratic Republic,,ROU,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
Road Relay,2:14:51 !,German Democratic Republic,,RUS,Chiba (JPN),23 NOV 2006
