DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
Discus Throw,69.64,Dani STEVENS,26 MAY 1988,AUS,"Olympic Stadium, London (GBR)",13 AUG 2017
Hammer Throw,74.61,Lauren BRUCE,23 MAR 1997,NZL,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",20 MAY 2021
Javelin Throw,68.92,Kathryn MITCHELL,10 JUL 1982,AUS,Gold Coast (AUS),11 APR 2018
10 Kilometres Road,31:17,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,Manchester (GBR),21 MAY 2006
Half Marathon,1:07:11,Kimberley SMITH,19 NOV 1981,NZL,"Philadelphia, PA (USA)",18 SEP 2011
Marathon,2:21:34,Sinead DIVER,17 FEB 1977,AUS,Valencia (ESP),04 DEC 2022
100 Kilometres Road,7:34:25,Kirstin BULL,02 AUG 1981,AUS,Los Alcázares (ESP),27 NOV 2016
"10,000 Metres Race Walk",41:57.22,Kerry SAXBY,02 JUN 1961,AUS,"Seattle, WA (USA)",24 JUL 1990
"20,000 Metres Race Walk",1:33:40.2,Kerry SAXBY,02 JUN 1961,AUS,Brisbane (AUS),06 SEP 2001
20 Kilometres Race Walk,1:27:09,Jemima MONTAG,15 FEB 1998,AUS,Adelaide (AUS),11 FEB 2024
35 Kilometres Race Walk,2:47:34,Rebecca HENDERSON,04 JUL 2001,AUS,"Stromlo Forest Park, Canberra (AUS)",09 JUN 2024
50 Kilometres Race Walk,4:09:33,Claire TALLENT,06 JUL 1981,AUS,Taicang (CHN),05 MAY 2018
Heptathlon,6695,Jane FLEMMING,14 APR 1965,AUS,Auckland (NZL),28 JAN 1990
Pentathlon Short Track,4490,Jane JAMIESON,23 JUN 1975,AUS,"Green Dome, Maebashi (JPN) ",05 MAR 1999
4x100 Metres Relay,42.83,Australia,,AUS,"The Bahamas National Stadium, Nassau (BAH)",04 MAY 2024
4x200 Metres Relay,1:32.6,Australia,,AUS,Brisbane (AUS),25 JAN 1976
4x200 Metres Relay Short Track,1:42.34,Australia,,AUS,"Pocatello, ID (USA) ",18 FEB 2017
4x400 Metres Relay,3:23.81,Australia,,AUS,"Olympic Stadium, Sydney (AUS)",30 SEP 2000
4x400 Metres Relay Short Track,3:26.87,Australia,,AUS,"Green Dome, Maebashi (JPN) ",07 MAR 1999
4x800 Metres Relay,8:13.26,Australia,,AUS,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
4x1500 Metres Relay,17:08.65,Australia,,AUS,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
